,popu,giph,ripo,rupo,rlpo,rspo,eltp,rnnr,nunh,nuth
AFS,37.00,2492.00,2.00,58.90,44.00,1.08,60.00,120.00,48.00,98.00
ALG,24.60,1960.00,3.00,44.70,50.40,0.73,64.00,112.00,21.00,71.00
BRD,62.00,19610.00,0.40,86.40,2.00,2.72,72.00,145.00,585.00,759.00
GBR,57.02,14575.00,0.04,92.50,2.20,1.90,75.00,128.00,421.00,435.00
ARS,14.40,5980.00,2.70,77.30,48.90,0.91,63.00,125.00,34.00,269.00
ARG,32.40,2130.00,1.60,86.20,6.10,2.96,71.00,136.00,82.00,217.00
AUS,16.81,16830.00,1.40,85.50,5.00,2.50,76.00,125.00,252.00,484.00
AUT,7.61,16693.00,0.00,57.70,1.50,2.52,74.00,130.00,362.00,487.00
BEL,9.93,15243.00,0.20,96.90,3.00,2.56,74.00,150.00,219.00,320.00
CAM,11.00,1120.00,2.70,49.40,58.80,0.17,53.00,88.00,6.00,12.00
CAN,26.25,20780.00,0.90,76.40,1.00,6.89,77.00,129.00,321.00,586.00
CHL,12.95,1794.00,1.60,85.60,8.90,1.73,71.00,106.00,67.00,183.00
CHN,1119.00,426.00,1.10,21.40,34.50,0.16,69.00,111.00,36.00,24.00
CUB,10.50,1050.00,0.80,74.90,3.80,2.38,75.00,135.00,129.00,203.00
DAN,5.13,20570.00,0.40,86.40,1.50,2.38,75.00,131.00,359.00,526.00
EGY,52.52,665.00,2.50,48.80,61.80,1.67,59.00,132.00,39.00,84.00
ESP,39.24,9650.00,0.40,78.40,4.20,2.55,77.00,137.00,75.00,380.00
FRA,56.10,16905.00,0.40,74.10,2.00,2.63,76.00,130.00,193.00,399.00
GAB,1.10,3000.00,4.00,45.70,60.00,0.36,52.00,107.00,14.00,23.00
GRE,10.00,5370.00,0.30,62.60,9.50,1.89,76.00,147.00,102.00,175.00
HOK,5.75,10900.00,0.00,100.00,22.70,1.34,77.00,121.00,521.00,247.00
HON,10.60,2330.00,-0.10,60.30,1.10,0.93,70.00,135.00,273.00,404.00
IND,810.00,317.00,1.90,28.00,59.20,0.55,57.00,100.00,28.00,7.00
IDO,179.00,454.00,2.00,28.80,32.70,0.55,60.00,116.00,21.00,41.00
ISR,4.47,9800.00,1.40,91.60,8.20,2.62,75.00,118.00,253.00,276.00
ITA,57.55,15025.00,0.10,68.60,3.50,2.25,75.00,139.00,105.00,419.00
JAP,123.20,22825.00,0.60,77.00,3.00,2.10,78.00,122.00,566.00,589.00
KEN,23.88,400.00,3.80,23.60,69.00,0.11,58.00,92.00,13.00,6.00
MAR,24.51,800.00,2.20,48.50,78.60,0.86,61.00,118.00,12.00,55.00
MEX,84.30,2096.00,2.50,72.60,17.00,1.55,68.00,120.00,124.00,124.00
NOR,4.20,22060.00,0.30,74.40,2.00,2.74,77.00,124.00,551.00,350.00
PER,21.75,1899.00,2.10,70.20,18.10,2.04,61.00,93.00,31.00,85.00
POL,38.00,1740.00,0.90,63.20,1.20,1.30,71.00,134.00,184.00,263.00
POR,10.50,4304.00,0.60,33.30,20.60,1.99,74.00,128.00,70.00,160.00
SUE,8.47,22455.00,0.10,84.00,1.50,2.21,77.00,113.00,526.00,395.00
SUI,6.70,26025.00,0.50,59.60,1.00,1.87,77.00,128.00,504.00,408.00
THA,55.45,1130.00,1.90,22.60,12.00,1.59,65.00,105.00,46.00,104.00
URS,289.00,6020.00,0.80,67.50,2.00,1.76,69.00,133.00,474.00,319.00
USA,247.50,20765.00,1.00,74.00,0.50,5.01,75.00,138.00,259.00,812.00
VEN,19.20,3220.00,2.50,90.00,15.30,2.60,69.00,102.00,164.00,147.00
YOU,23.67,2599.00,0.70,50.20,10.40,1.44,72.00,139.00,100.00,179.00
